"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AFAP1-AS1",5077.84605084855,6.84987765026001,0.301723082731615,2.68098001946999e-115,5.4265716574092e-111
"ETV4",2738.8494725597,4.13918038786749,0.226920736825598,1.23316405252583e-75,1.24802367935876e-71
"GCNT3",2541.87720364466,5.93617587038577,0.336013389215022,4.38124900464388e-71,2.95602870343323e-67
"COL10A1",4101.2377514448,4.27674225081462,0.247124693298336,2.38712801463914e-68,1.20794645360777e-64
"LOC154860",443.240222040496,6.81474304570003,0.41025822707395,3.45496347415516e-63,1.39863831360749e-59
"ACVRL1",15253.8496951312,-2.25381373179824,0.135889782795813,1.0400067972641e-62,3.50846293057046e-59
"PROM2",4851.34424458806,2.95663869058119,0.179735697495206,5.92284900423336e-62,1.57289751206176e-58
"TMEM184A",1959.20796191932,2.76347213646084,0.167863655287133,6.21667906550767e-62,1.57289751206176e-58
"XDH",2041.93167689139,4.61625344054131,0.281772904101952,1.56720471998596e-61,3.52464341524842e-58
"PYCR1",4498.07222454258,3.2110979949167,0.196362700516799,4.10065673764619e-61,8.30013930266964e-58
"GPT2",2789.90583670917,2.63647252260031,0.16694153413257,2.8370128767367e-57,5.22036160345705e-54
"ABCC3",13584.784496963,2.55101751838394,0.161952708732447,6.88076443005368e-57,1.1606129402393e-53
"SPINK1",5056.57835376975,7.47529807337835,0.476294537008974,9.04363748353145e-57,1.40809435618585e-53
"ABCA12",808.442748855872,5.91766218085593,0.379966943895183,6.34496922169221e-56,9.17346585830515e-53
"RASAL1",495.337076966733,4.02004486877142,0.258956235377443,9.81079983147827e-56,1.32386932925968e-52
"PODXL2",2452.1428765582,3.12002038606526,0.202793728940076,1.08136149603435e-54,1.36798987757695e-51
"SPDEF",1714.69776108773,3.70592175510284,0.241118227458448,1.81859307614871e-54,2.1653024973133e-51
"HSPA12B",3552.07926315425,-2.40771638743136,0.158904181427492,5.69626107095715e-53,6.40544557429131e-50
"HABP2",3854.58316186717,6.12903790936517,0.405064421724202,6.10845518801917e-53,6.50743376108926e-50
"C14orf132",9185.39843681912,-1.85041036981315,0.124017076727768,2.65087220403331e-51,2.68281521409192e-48
"TMPRSS4",4996.75235409602,4.66663349449735,0.31387170410502,2.92908185876812e-51,2.82321647158693e-48
"LOC100505495",2003.68577643447,-2.19143595367904,0.147057780015474,3.1501205898635e-51,2.89825412997396e-48
"RAMP2",7546.96005998319,-2.39118429062683,0.160757218212408,3.75098021716495e-51,3.30102567720156e-48
"UNC5CL",896.393226219687,3.19728672415961,0.215390041296626,5.11601768850944e-51,4.31472141804665e-48
"ARHGEF26",7559.93550046031,-2.09394432136804,0.143327415375661,2.36758245215327e-49,1.91688945656137e-46
"ADM2",1038.51282690424,3.33093181602256,0.228499281591929,2.9749151923135e-49,2.31597147721606e-46
"USHBP1",1030.97599630922,-2.2216830487873,0.152365990574456,3.1434094414868e-49,2.35650927796794e-46
"ARHGAP40",530.132610378275,4.77200455829165,0.328028639695159,3.54796412681908e-49,2.5647979246766e-46
"LOC100506385",348.058792186729,2.66237114099478,0.182948712354084,4.17315536045465e-49,2.91271853968836e-46
"RAMP3",7751.38860547939,-2.66901962920525,0.183691367874278,5.67261399246958e-49,3.82731266071923e-46
"METTL7B",1069.22860075286,3.3966189134722,0.23404323935923,7.12665219623379e-49,4.507830221999e-46
"IGSF9",1576.3700797705,4.02900534968485,0.277905523783603,7.11248931350375e-49,4.507830221999e-46
"SCUBE1",1939.96644163045,-2.80972554855145,0.193990171750283,1.11563819557135e-48,6.84291900501807e-46
"TMEM100",12860.3649703368,-3.64007806475123,0.252283981273537,5.38101309148215e-48,3.20344370543206e-45
"LIMS2",6526.18287052643,-2.1945940341056,0.152585779604845,6.10691465794158e-48,3.53171598832559e-45
"CAV1",91285.6902248986,-2.50304385965529,0.176289037818656,1.04984731850381e-47,5.90276654828766e-45
"UPK3B",8119.4048937385,-3.12137992561577,0.218481887496287,1.23846101914152e-47,6.77505121309284e-45
"CEACAM5",48468.2171380545,6.45049775109235,0.453778832264177,4.41811429078342e-47,2.35334345683545e-44
