"gene","module"
"CEACAM5","blue"
"RPS4Y1","grey"
"GSTT1","grey"
"SPINK1","blue"
"MUC5B","brown"
"AFAP1-AS1","blue"
"XIST","grey"
"CLDN2","blue"
"SPP1","brown"
"SLC6A4","turquoise"
"DDX3Y","grey"
"HABP2","blue"
"SCGB3A1","yellow"
"MUC16","brown"
"VSIG1","blue"
"GCNT3","blue"
"TM4SF4","blue"
"MMP11","brown"
"MMP1","brown"
"CRABP2","blue"
"TMPRSS4","blue"
"COL17A1","blue"
"KDM5D","grey"
"MUC6","magenta"
"FOSB","turquoise"
"NELL1","blue"
"PRAME","brown"
"FAM83A","brown"
"MUC13","magenta"
"SFTPC","turquoise"
"COL11A1","brown"
"MUC21","blue"
"ABCA4","blue"
"USP9Y","grey"
"CST1","brown"
"BPIFB1","yellow"
"SERPIND1","black"
"ANKRD1","turquoise"
"AZGP1","grey"
"COL10A1","brown"
"CA9","brown"
"TMEM100","turquoise"
"TFF2","magenta"
"GSTM1","grey"
"GREM1","brown"
"HS6ST2","blue"
"FGG","red"
"B3GNT3","brown"
"BPIFA1","brown"
"MSMB","yellow"
"UTY","grey"
"CLDN18","turquoise"
"TFF1","magenta"
"GFRA3","blue"
"CXCL13","purple"
"XDH","blue"
"SCGB1A1","yellow"
"AGER","turquoise"
"DPCR1","magenta"
"ABCA12","brown"
"WIF1","turquoise"
"LGALS4","blue"
"HBB","turquoise"
"ATP10B","brown"
"SCGB3A2","grey"
"CTSE","grey"
"MMP7","blue"
"SYT12","brown"
"FCN3","turquoise"
"SFTPA1","red"
"HOXB9","brown"
"SFTPA2","red"
"TUBB3","brown"
"PRB4","grey"
"B3GNT6","blue"
"PGC","turquoise"
"HMGA2","brown"
"ZFY","grey"
"MSLN","grey"
"HLA-DRB6","grey"
"SOSTDC1","turquoise"
"ETV4","blue"
"CP","brown"
"FAM107A","turquoise"
"AQP5","blue"
"EIF1AY","grey"
"GDF15","blue"
"COMP","blue"
"IL1RL1","turquoise"
"C4BPA","grey"
"GPX2","blue"
"ABP1","blue"
"RTKN2","turquoise"
"ITLN2","turquoise"
"CHIT1","grey"
"DLK1","grey"
"VIL1","brown"
"LOC154860","blue"
"CR2","purple"
"HBA2","turquoise"
"CRLF1","blue"
"GLB1L3","blue"
"CSF3","turquoise"
"S100P","brown"
"KIF1A","brown"
"LOC400550","turquoise"
"ERN2","blue"
"IVL","brown"
"HP","red"
"MMP12","brown"
"NPTX1","blue"
"LGSN","brown"
"FABP4","turquoise"
"LGI3","turquoise"
"IGLL5","purple"
"SLC44A5","blue"
"BTNL9","turquoise"
"SFTPB","red"
"CXCL14","blue"
"EDNRB","turquoise"
"CA4","turquoise"
"DMBT1","red"
"MS4A15","turquoise"
"SPDEF","blue"
"STRA6","brown"
"IGSF9","blue"
"CDH3","brown"
"UPK3B","turquoise"
"CRYM","black"
"CPB2","turquoise"
"GPM6A","turquoise"
"PAX7","blue"
"TCN1","brown"
"CLEC3B","turquoise"
"KRT23","brown"
"GJB1","blue"
"HOXC10","blue"
"BPIFB2","brown"
"SERPINB3","yellow"
"PTPRH","brown"
"PEBP4","turquoise"
"ADH1B","turquoise"
"GKN2","turquoise"
"FER1L6","magenta"
"PROM1","brown"
"TOX3","blue"
"TMPRSS11E","brown"
"RP11-165H20.1","turquoise"
"SYT13","magenta"
"SERTM1","turquoise"
"ALDH3A1","grey"
"TMEM63C","blue"
"PRG4","turquoise"
"SPINK4","magenta"
"LOC145837","blue"
"COL6A6","turquoise"
"BAAT","blue"
"C16orf89","black"
"CD207","black"
"CD1A","black"
"ARHGAP40","blue"
"COL2A1","brown"
"KLK5","grey"
"GJB2","brown"
"LYVE1","turquoise"
"ANXA10","magenta"
"CYorf15B","grey"
"GSTA2","yellow"
"LCN2","magenta"
"BARX2","brown"
"MMP13","brown"
"GPR110","blue"
"NTRK2","turquoise"
"SLC1A7","black"
"PRSS1","magenta"
