"gene","module","kWithin","MM","hub_score","rank"
"SERINC2","blue",209.219537316055,0.943667786787394,197.433737731724,1
"EPCAM","blue",198.973234526028,0.925492175575014,184.148171702691,2
"PVRL4","blue",196.312974296727,0.920519756239101,180.709971246196,3
"PAK6","blue",192.282557961649,0.917510462886069,176.42125876031,4
"PROM2","blue",189.678949185875,0.912954788211928,173.168304882252,5
"PYCR1","blue",190.288219521364,0.908036308464638,172.788612398488,6
"GCNT3","blue",189.445461517357,0.910560076036849,172.50147384408,7
"TMEM184A","blue",189.526105182249,0.908937701428248,172.267422405002,8
"TRAF4","blue",188.399094813678,0.907940295930261,171.055129898124,9
"METTL7B","blue",187.333273838195,0.912526585352575,170.946592698486,10
"ERG","turquoise",660.731434193818,0.983978058898219,650.145234071069,1
"TEK","turquoise",656.998182556625,0.980979894939012,644.502008099519,2
"JAM2","turquoise",647.841185040997,0.976576850528463,632.666704129964,3
"RHOJ","turquoise",647.130084853711,0.973417045438714,629.927455212804,4
"ROBO4","turquoise",645.406706370912,0.975123251366943,629.351085970434,5
"S1PR1","turquoise",644.943843234495,0.974778558470837,628.677429802763,6
"PEAR1","turquoise",643.55789203539,0.972019909058058,625.551083689835,7
"ARHGAP6","turquoise",642.021023459497,0.97338925794239,624.936367608653,8
"C20orf160","turquoise",641.834184411021,0.972071322948453,623.908604753963,9
"ARHGEF15","turquoise",640.554045886452,0.972580521166023,622.99038778325,10
"MYBL2","brown",226.971806008138,0.953873881158814,216.502477510608,1
"KIF4A","brown",226.708907745451,0.950555901012166,215.499490069462,2
"EXO1","brown",225.581146574512,0.949681410466789,214.230221453598,3
"CDC6","brown",223.706301539221,0.950929558694584,212.728934599889,4
"IQGAP3","brown",222.759213818143,0.954416939655287,212.60516713233,5
"CDC20","brown",223.175398012102,0.943445088818835,210.553733199707,6
"ANLN","brown",221.743030546548,0.943787272862434,209.278250075778,7
"CDCA5","brown",221.74337652867,0.940943296901442,208.647943776945,8
"KIF2C","brown",220.976091194804,0.940149131664287,207.750480255363,9
"TPX2","brown",220.197010241937,0.936849206184964,206.291394249461,10
"DOK2","red",55.3588989886552,0.946104705202826,52.3753148080146,1
"SPI1","red",54.2494696263621,0.942720052817121,51.1420628714649,2
"HCK","red",54.2756396879777,0.93828006348119,50.9257506519179,3
"SPN","red",53.7444264075119,0.937184352246976,50.3684354496093,4
"NLRC4","red",54.3510563970406,0.920117083052282,50.0093354728551,5
"C1orf162","red",53.005639066163,0.934593478047966,49.5387245710004,6
"CD33","red",52.5238272486661,0.937298172515398,49.2304872936892,7
"OSCAR","red",52.6195896199827,0.935233112256121,49.2115825659363,8
"AMICA1","red",52.1770803302136,0.937182643945383,48.8994540972202,9
"ALOX5","red",52.46777060821,0.921037552091949,48.3247870047076,10
"MALL","black",32.9591371497848,0.903936185429742,29.7929567102322,1
"GLS2","black",31.4538340512533,0.880362026067118,27.6907610729402,2
"NPC2","black",30.7974969421777,0.874811849685877,26.9420152656816,3
"HOXD1","black",30.5990237269244,0.874053744409482,26.7451912637928,4
"C16orf89","black",30.5125403357375,0.870561858901584,26.5630538344892,5
"ENTPD3","black",29.8330960253021,0.862596370773855,25.7339203603735,6
"CTSH","black",29.4929354181301,0.858281817147673,25.3132502036916,7
"DOK4","black",28.4694964417139,0.850129053727814,24.2027460701016,8
"SCTR","black",28.1579798307658,0.841037601419913,23.6819198176975,9
"MAGIX","black",27.6173115378036,0.833862134370207,23.0290303444799,10
"CD19","purple",42.082745328697,0.975272962025639,41.042163686889,1
"CD27","purple",40.3937850292215,0.960571389206973,38.8011142008471,2
"CD79A","purple",40.5603991310702,0.952447052111048,38.6316325848353,3
"FCRLA","purple",39.8432778480347,0.955905887791896,38.0864238838648,4
"FCRL5","purple",39.6326913712497,0.946313509285934,37.5049512539736,5
"CPNE5","purple",38.6654931103246,0.934940671099134,36.1499420769458,6
"ANKRD36BP2","purple",37.4057042872837,0.924333266208507,34.5753368186945,7
"PNOC","purple",36.6346693856355,0.916800462005095,33.5866818181545,8
"PIM2","purple",36.2102819492453,0.919962756461694,33.3121107942828,9
"P2RX5","purple",35.8487219778204,0.929078017019479,33.306259527836,10
"DNAI1","yellow",183.420158236658,0.982934699903247,180.290038192556,1
"CXorf41","yellow",182.456936970484,0.982996732894115,179.354572935854,2
"ENKUR","yellow",182.231721162967,0.982620229466555,179.06457566524,3
"TTC29","yellow",181.764691987246,0.979209693376298,177.985748307468,4
"TEKT1","yellow",181.530939511764,0.979371165556603,177.786167814221,5
"FAM154B","yellow",180.144421789246,0.977830951755204,176.150791411569,6
"FAM166B","yellow",180.163498303845,0.97750539685744,176.110791908724,7
"WDR96","yellow",180.010327829928,0.977843279910222,176.021889382931,8
"VWA3B","yellow",179.710315899745,0.976655513231251,175.515070808016,9
"WDR16","yellow",179.501458134246,0.974337722023836,174.895041818478,10
